N,Title,Author,Composer,Tune
315,He Walks among the Golden Lamps,"Dudley-Smith, Timothy",Noel Tredinnick,Revelation
316,"The Mighty God, the Lord",Scottish Psalter,"Elvey, George J.",Diademata
317,"Wake, Awake, for Night Is Flying","Nicolai, Philipp","Nicolai, Philipp",Wachet Auf
318,Lo! He Comes with Clouds Descending,"Wesley, Charles",John Francis Wade’s Cantus Diversi,Holywood
319,Day of Judgment! Day of Wonders!,"Newton, John",Gregorian Chant,St. Austin
320,"Rejoice, All Ye Believers","Laurenti, Laurentius","Smart, Henry",Lancashire
321,"Great God, What Do I See and Hear!","Collyer, William B.","Luther, Martin",Luther’s Hymn
322,"O Quickly Come, Dread Judge of All","Tuttiett, Lawrence","Dykes, John B.",Melita
323,Ten Thousand Times Ten Thousand,"Alford, Henry","Dykes, John B.",Alford
324,Christ Is Coming!,"Macduff, Rohn Ross","Neander, Joachim",Neander
325,"When He Cometh, When He Cometh","Cushing, William O.","Root, George Frederick",Jewels
326,"Thou Art Coming, O My Savior","Havergal, Frances","Monk, William H.",Beverley
327,One Day He’s Coming,"Chapman, J. Wilbur","Marsh, Charles, H.",Chapman
328,"My Lord, What a Mourning",Spiritual,Spiritual,Mourning
329,"Come, O Creator Spirit Blest",Latin,"Pleyel, Ignaz J.",Grace Church
330,"Holy Ghost, Dispel Our Sadness","Gerhardt, Paul","Bourgeouis, Louis",Psalm 42
331,"Come, O Come, Thou Quickening Spirit","Held, Heinrich","Gounod, Charles F.",Lux Prima
332,"Come, Holy Spirit, Heavenly Dove.","Watts, Isaac","Dykes, John B.",St. Agnes
333,"Gracious Spirit, Dove Divine","Stocker, John","Gottschalk, Louis M.",Mercy
334,"Breathe on Me, Breath of God.","Hatch, Edwin","Jackson, Robert",Trentham
335,"Gracious Spirit, Dwell with Me","Lynch, Thomas T.","Redhead, Richard",Redhead
336,"Spirit, Strength of All the Weak","Pollock, Thomas Benson","Gower, John Henry",Gower’s Litany
337,O Spirit of the Living God,"Montgomery, James",Traditional German melody,Mendon
338,"Spirit of God, Descend upon My Heart","Croly, George","Atkinson, Frederick C.",Morecambe
339,For Your Gift of God the Spirit,"Clarkson, Margaret","Rowlands, Williams P.",Blaenwern
340,"Come, Dearest Lord, Descend and Dwell","Watts, Isaac","Oliver, Henry K.",Federal Street
341,"O Breath of Life, Come Sweeping through Us","Head, Bessie P.","Hammond, Mary J.",Spiritus Vitae
342,Christ Is Made the Sure Foundation,Latin,"Smart, Henry",Regent Square
343,Christ Is Made the Sure Foundation,Latin,"Purcell, Henry",Westminter Abbey
344,O ‘Twas a Joyful Sound to Hear,Tate and Brady’s New Version,"Davies, H. Walford",Oswald’s Tree
345,Glorious Things of Thee Are Spoken,"Newton, John","Haydn, Franz Joseph",Austrian Hymn
346,Hail to the Brightness of Zion’s Glad Morning!,"Hastings, Thomas","Mason, Lowell",Wesley
347,The Church’s One Foundation,"Stone, Samuel J.","Wesley, Samuel S.",Aurelia
348,"Jesus, with Thy Church Abide","Pollock, Thomas Benson","Gower, John Henry",Gower’s Litany
349,O Thou Who the Shepherd of Israel Art,Associate Reformed Presbyterian Psalter,Traditional Welsh hymn melody,Joanna
350,Zion Stands by Hills Surrounded,"Kelly, Thomas","Hastings, Thomas",Zion
351,Built on the Rock the Church Doth Stand,"Grundtvig, Nicolai F. S.","Lindeman, Ludvig M.",Kirken Den Er Et
352,"Renew Thy Church, Her Ministries Restore","Cober, Kenneth Lorne",The Sacred Harp,All Is Well
353,"I Love Thy Kingdom, Lord","Dwight, Timothy","Williams, Aaron",St. Thomas
354,"Jesus Christ, Our Sure Foundation","Hunt, Mark","Huffman, Hughes M. ",Oakbrook
355,We Are God’s People,"Leech, Bryan Jeffery","Brahms, Johannes",Symphony
356,How Beautiful the Sight,"Montgomery, James","Dykes, John B.",St. Godric
357,Let Our Choir New Anthems Raise,Joseph the Hymnographer,"Sullivan, Arthur S.",St. Kevin
358,For All the Saints,"How, William Walsham","Williams, Ralph Vaughan",Sine Nomine
359,Blest Be the Tie That Binds,"Fawcett, John","Nageli, Hans G.",Dennis
360,When in His Might the Lord,The Psalter,"Goss, John",Arthur’s Seat
361,O Praise Ye the Lord,The Psalter,"Parry, C. Hubert H.",Laudate Dominum
362,"O People Blest, Whose Sons in Youth",The Psalter,"Goodrich, Charles G.",Shortle
363,We Gather Together,Netherlands folk hymn,Nederlandtsch Gedenckclank,Kremser
364,Let Children Hear the Mighty Deeds,"Watts, Isaac",Scottish Psalter,Dundee
365,Unless the Lord the House Shall Build,The Psalter,"Oakeley, Herbert S.",Abends
366,"My People, Give Ear, Attend to My Word",The Psalter,"Croft, William",Hanover
367,The Lord Will Come and Not Be Slow,"Milton, John","Clarke, Jeremiah",St. Magnus
368,The Ends of All the Earth Shall Hear,The Psalter,"Doane, William H.",Vision
369,"Shout, for the Blessed Jesus Reigns","Beddome, Benjamin",Psalmodia Evangelica,Truro
370,"Revive Thy Work, O Lord","Midlane, Albert","Walter, William H.",Festal Song
371,"O Lord of Hosts, How Lovely",Associate Reformed Presbyterian Psalter,Welsh hymn melody,Llangloffan
372,Praise Waits for Thee in Zion,The Psalter,Traditional Finnish melody,Nyland
373,"Within Your Temple, Lord",United Presbyterian Book of Psalms,Congregational Church Music,St. John
374,"Arise, O Lord Our God, Arise",The Psalter,"Gorlitz, Pensum Sacrum",Herr Jesu Christ
375,Lord of the Worlds Above,"Watts, Isaac","Lee, J. V.",Eastview
376,Open Now Thy Gates of Beauty,"Schmolck, Benjamin","Neander, Joachim",Neander
377,"Jesus, Where’er Your People Meet","Cowper, William","Harrison, Ralph",Warrington
378,"Here, O My Lord, I See Thee Face to Face","Bonar, Horatius","Atkinson, Frederick C.",Morecambe
379,"Lord Jesus Christ, Be Present Now",Anon.,"Gorlitz, Pensum Sacrum",Herr Jesu Christ
380,"Father, Again in Jesus’ Name We Meet","Whitmore, Lucy E. G. ","Barnaby, Joseph",Longwood
381,"Brethren, We Have Met to Worship","Atkins, George","Moore, William",Holy Manna
382,God Himself Is with Us,"Tersteegen, Gerhard","Neander, Joachim",Wunderbarer Konig
383,"Almighty God, Your Word Is Cast","Cawood, John",Scottish Psalter,Dunfermline
384,"Lord, Dismiss Us with Your Blessing","Fawcett, John",Sicilian melody,Sicilian Mariners
385,God Be with You Till We Meet Again,"Rankin, Jeremiah E.","Williams, Ralph Vaughan",Randolph
386,God Be with You Till We Meet Again,"Rankin, Jeremiah E.","Tomer, William G.",God Be With You
387,Now May He Who from the Dead,"Newton, John","Gottschalk, Louis M.",Mercy
388,"Savior, Again to Thy Dear Name We Raise","Ellerton, John","Hopkins, Edward J.",Ellers
389,This Is the Day the Lord has Made,"Watts, Isaac","Arne, Thomas A.",Arlington
390,"Lord of the Sabbath, Hear Us Pray","Doddridge, Phillip",Gardiner’s Sacred Melodies,Germany
391,Safely through Another Week,"Newton, John","Mason, Lowell",Sabbath
392,O Day of Rest and Gladness,"Wordsworth, Christopher",Traditional German melody,Mendebras
393,"Come, Let Us Join with One Accord","Wesley, Charles","Dykes, John B.",Beatitudo
394,This Day at Thy Creating Word,"How, William Walsham",Musikalisches Handbuch,Winchester New
395,"Awake, My Soul, and with the Sun","Ken, Thomas","Barthelemon, Francois H.",Morning Hymn
396,"Come, My Soul, Thou Must Be Waking","von Canitz, F. R. L.","Haydn, Franz Joseph",Haydn
397,"Light of Light, Enlighten Me","Schmolck, Benjamin",Uzziah C. Burnap,Hinchman
398,"Christ, Whose Glory Fills the Skies","Wesley, Charles","Gounod, Charles F.",Lux Prima
399,"Lord, As the Day Begins","Dudley-Smith, Timothy",Arthur S. Sullivan,Samuel
400,O Bless Our God with One Accord,"Lamberts, Lambertus J.",Genevan Psalter,Old Hundredth
401,"All Praise to Thee, My God, This Night","Ken, Thomas","Tallis, Thomas",Tallis’ Canon
402,Abide with Me: Fast Fall the Eventide,"Lyte, Henry F.","Monk, William H.",Eventide
403,"Savior, Breathe an Evening Blessing","Edmeston, James","Stebbins, George C.",Evening Prayer
404,"Sun of My Soul, Thou Savior Dear","Keble, John",Katholisches Gesangbuch,Hursley
405,"God, That Madest Earth and Heaven","Heber, Reginald",Traditional Welsh melody,Ar Hyd Y Nos
406,Now the Day Is Over,"Baring-Gould, Sabine","Barnby, Joseph",Merrial
407,"The Day You Gave Us, Lord, Is Ended","Ellerton, John","Scholefield, Clement C.",St. Clement
408,Day is Dying in the West,"Lathbury, Mary A.","Sherwin, William F.",Evening Praise
409,Softly Now the Light of Day,"Doane, George W.","von Weber, Carl Maria",Seymour
410,"Lord Jesus Christ, Our Lord Most Dear",Heinrich of Laufenberg,"Barnby, Joseph",St. Chrysostom
411,"Shine Thou upon Us, Lord","Ellerton, John",Jewish melody,Leoni
412,See Israel’s Gentle Shepherd Stand,"Doddridge, Phillip","Barnby, Joseph",Soho
413,"Our Children, Lord, in Faith and Prayer","Haweis, Thomas","Pond, Sylvanus B.",Armenia
414,"Dear Lord, Today Our Child","Busch, Calvin A.","Busch, Calvin A.",Second Parish
415,Baptized into Your Name Most Holy,"Rambach, Johann J.","Neumark, Georg",Neumark
416,"Gracious Savior, Gentle Shepherd","Leeson, Jane E.","Viner, William L.",Dismissal
417,A Little Child the Savior Came,"Robertson, William",Heilige Seelenlust,Angelus
418,"O King Eternal, Sovereign Lord","Fitch, William","Dykes, John B.",Almsgiving
419,"In Your Arms, Lord Jesus Christ","Clowney, Edmund P.","Warren, Norman L.",Listening
420,At the Lamb’s High Feast We Sing,Latin hymn,"Elvey, George J.","St. George’s, Windsor"
421,"Soul, Adorn Yourself with Gladness","Franck, Johann","Cruger, Johann",Schmucke Dich
422,Twas on That Night When Doomed to Know,"Morison, John","Miller, Edward (Arr.)",Rockingham Old
423,According to Thy Gracious Word,"Montgomery, James","Cottman, Arthur",Dalehurst
424,"Shepherd of Souls, Refresh and Bless","Montgomery, James","Dykes, John B.",St. Agnes
425,Bread of the World in Mercy Broken,"Heber, Reginald","Hodges, John S. B.",Eucharistic Hymn
426,Till He Come!,"Bickersteth, Edward H.","Redhead, Richard",Redhead
427,Amidst Us Our Beloved Stands,"Spurgeon, Charles H.",Gregorian Chant,Hamburg
428,"Not Worthy, Lord!","Bickersteth, Edward H.","Mendelssohn-Bartholdy, Felix",Communion
429,Let Thy Blood in Mercy Poured,Greek hymn,"Cruger, Johann","Jesus, Meine Zuversicht"
430,I Hunger and I Thirst,"Monsell, John S. B.",Traditional Austrian melody,Dolomite Chant
431,A Parting Hymn We Sing,"Wolfe, Aaron R.",Mason and Webb’s Cantica Laudis,Schumann
432,We Give Thee But Thine Own,"How, William Walsham",Mason and Webb’s Cantica Laudis,Schumann
433,"O God of Mercy, God of Might","Thring, Godfrey","Drewett, Edwin",Elmhurst
434,"Lord, Thou Lov’st the Cheerful Giver","Murray, Robert","Zundel, John",Beecher
435,"Lord of All Good, We Bring Our Gifts to You","Bayly, Albert F.","Watson, Sydney",Morestead
436,"Zion, Founded on the Mountains",The Psalter,"Edwards, Robert",Caersalem
437,"O God, to Us Show Mercy",The Psalter,"Lloyd, William",Meirionydd
438,"All Lands, to God in Joyful Sounds",The Psalter,"Schrubsole, William",Miles Lane
439,Christ Shall Have Dominion,The Psalter,"Sullivan, Arthur S.",St. Gertrude
440,"Ye Christian Heralds, Go Proclaim","Draper, Bourne H.","Zeuner, Heinrich C.",Missionary Chant
441,Jesus Shall Reign,"Watts, Isaac","Hatton, John",Duke Street
442,"Arise, O God","Hurn, William","Edwards, John David",Rhosymedre
443,Hark! The Voice of Jesus Crying,"March, Daniel","Mozart, Wolfgang Amadeus",Ellesdie
444,"O Zion, Hast, Your Mission High Fulfilling","Thomson, Mary A.","Walch, James",Tidings
445,Bring Them In,"Thomas, Alexcenah","Ogden, William A.",Bring Them In
446,Fling Out the Banner! Let It Float,"Doane, George W.","Calkin, J. Baptiste",Waltham
447,Christ for the World We Sing,"Wolcott, Samuel","de Giardini, Felice",Italian Hymn
448,We Have Heard the Joyful Sound,"Owens, Priscilla J.","Kirkpatrick, William J.",Jesus Saves
449,We Rest on Thee,"Cherry, Edith G.","Sibelius, Jean",Finlandia
450,So Send I You,"Clarkson, Margaret","Peterson, John W.",So Send I You
451,"The Sending, Lord, Springs","Danker, William J.","Stanford, Charles V.",Engelberg
452,Macedonia,"Ortlund, Anne","Cutler, Henry S.",All Saints New
453,All Authority and Power,"Idle, Christopher","Neander, Joachim",Neander
454,"Our God Is Mighty, Worthy of All Praising","Clarkson, Margaret","Huffman, Hughes M. ",Viola
455,And Can It Be That I Should Gain,"Wesley, Charles","Campbell, Thomas",Sagina
456,"By Grace I’m Saved, Grace Free and Boundless","Scheidt, Christian L.",Harmonischer Liederschatz,Mentzer
457,"Come, Thou Fount of Every Blessing","Robinson, Robert","Nettleton, Asahel",Nettleton
458,What Tho’ I Cannot Break My Chain,"Toplady, Augustus M.","Arne, Thomas A.",Arlington
459,I Am Not Skilled to Understand,"Greenwell, Dora","Kirkpatrick, William J.",Greenwell
460,Amazing Grace,"Newton, John",Traditional American melody,Amazing Grace
461,Not What My Hands Have Done,"Bonar, Horatius","Martin, George William",Leominster
462,Grace! ‘Tis a Charming Sound,"Doddridge, Phillip",Genevan Psalter,St. Michael
463,A Debtor to Mercy Alone,"Toplady, Augustus M.","Evans, David Emlyn",Trewen
464,I Was a Wandering Sheep,"Bonar, Horatius","Zundel, John",Lebanon
465,Marvelous Grace of Our Loving Lord,"Johnston, Julia H.","Towner, Daniel B.",Moody
466,"I Sought the Lord, and Afterward I Knew",Anon.,"Chadwick, George W.",Peace
467,Wonderful Grace of Jesus,"Lillenas, Haldor","Lillenas, Haldor",Wonderful Grace
468,My Faith Has Found a Resting Place,"Edmunds, Lidie H.","Gretry, Andre",Landas
469,How Sweet and Awesome Is the Place,"Watts, Isaac",Old Irish hymn melody,St. Columba
470,How Vast the Benefits Divine,"Toplady, Augustus M.","Croft, William",St. Matthew
471,Tis Not That I Did Choose Thee,"Conder, Josiah","Calkin, John Baptiste",Savoy Chapel
472,"Come, Ye Sinners, Poor and Wretched","Hart, Joseph","Owen, William",Bryn Calfaria
473,Jesus Sinners Doth Receive,"Neumeister, Erdmann","Cruger, Johann","Jesus, Meine Zuversicht"
474,"Blow Ye the Trumpet, Blow!","Wesley, Charles","Edson, Louis",Lenox
475,Come to the Savior Now,"Wigner, John M.","Maker, Frederick C.",Invitation
476,The Light of the World Is Jesus,"Bliss, Philip P.","Bliss, Philip P.",Light Of The World
477,"Are You Weary, Are You Languid","Neale, John Mason","Baker, Henry W.",Stephanos
478,I Love to Tell the Story,"Hankey, Katherine","Fischer, William G.",I Love To Tell The Story
479,Softly and Tenderly Jesus Is Calling,"Thompson, Will L.","Thompson, Will L.",Thompson
480,"Come, for the Feast Is Spread","Burton, Henry","Lowry, Robert",Something For Jesus
481,Turn Your Eyes upon Jesus,"Lemmel, Helen H.","Lemmel, Helen H.",Lemmel
482,"Come unto Me, Ye Weary","Dix, William C.",Welsh hymn melody,Llangloffan
483,We Sing the Glorious Conquest,"Ellerton, John",Traditional German melody,Woodbird
484,I Hear Thy Welcome Voice,"Hartsough, Lewis","Hartsough, Lewis",Welcome Voice
485,O Thou That Hear’st When Sinners Cry,"Watts, Isaac",Gregorian Chant,Hamburg
486,"God, Be Merciful to Me",The Psalter,"Redhead, Richard",Redhead
487,In Thy Wrath and Hot Displeasure,The Psalter,"Parry, C. Hubert H.",Rustington
488,"Remember Not, O God",The Psalter,"Barnard, John",Steeple Ashton
489,"Lord, like the Publican I Stand","Raffles, Thomas","Gabriel, Charles H.",Avondale
490,Out of the Deep I Call,"Baker, Henry W.","Daman, William",Southwell
491,"Take Me, O My Father, Take Me","Palmer, Ray","Bortniansky, Dmitri",Vesper Hymn
492,"O Jesus, Thou Art Standing","How, William Walsham","Knecht, Justin H.",St. Edith
493,We Have Not Known Thee As We Ought,"Pollock, Thomas Benson","Barnby, Joseph",St. Chrysostom
494,Forgive Our Sins As We Forgive,"Herklots, Rosamond E.",American folk tune,Dove Of Peace
495,"No, Not Despairingly Come I to Thee","Bonar, Horatius","Spratt, Ann B.",Kedron
496,"Kind and Merciful God, We Have Sinned","Leech, Bryan Jeffery",Traditional Swedish melody,Elfaker
497,"I Need Thee, Precious Jesus","Whitfield, Frederick",Welsh hymn melody,Meirionydd
498,Jesus! What a Friend for Sinners!,"Chapman, J. Wilbur","Pritchard, Rowland Hugh",Hyfrydol
499,"Rock of Ages, Cleft for Me","Toplady, Augustus M.","Hastings, Thomas",Toplady
500,"Rock of Ages, Cleft for Me","Toplady, Augustus M.","Ward, James",New City Fellowship
501,"Just As I Am, without One Plea","Elliott, Charlotte","Bradbury, William B.",Woodworth
502,"Just As I Am, without One Plea","Elliott, Charlotte","Maunder, John Henry",Maunder
503,"Out of My Bondage, Sorrow, and Night","Sleeper, W. T.","Stebbins, George C.","Jesus, I Come"
504,"I Am Trusting Thee, Lord Jesus","Havergal, Frances R.",Ethelbert W. Bullinger,Bullinger
505,I’m Not Ashamed to Own My Lord,"Watts, Isaac",J. C. Lowry,Pisgah
506,As When the Hebrew Prophet Raised,"Watts, Isaac","Mason, Lowell",Downs
507,"Approach, My Soul, the Mercy Seat","Newton, John","Cottman, Arthur",Dalehurst
508,"Jesus, Lover of My Soul","Wesley, Charles","Parry, Joseph",Aberystwyth
509,"Jesus, Lover of My Soul","Wesley, Charles","Marsh, Simeon B.",Martyn
510,Thou Hidden Source of Calm Repose,"Wesley, Charles",Easy Hymn Tunes,Stella
511,"Jesus, and Shall It Ever Be","Grigg, Joseph","Southgate, Thomas B.",Brookfield
512,I Lay My Sins on Jesus,"Bonar, Horatius","Gesius, Bartolomaeus",Commemoration
513,"Blessed Lord, in Thee Is Refuge","Booth, Herbert","Owen, William",Bryn Calfaria
514,For God So Loved the World,"Dauermann, Stuart","Dauermann, Stuart",For God So Loved
515,How Lovely Shines the Morning Star!,"Nicolai, Philipp","Nicolai, Philipp",Wie Schon Leuchtet Der Morgenstern
516,"Jesus, I Live to Thee","Harbaugh, Henry","Jackson, Robert",Trentham
517,"I’ve Found a Friend, O Such a Friend!","Small, James G.","Sullivan, Arthur S.",Constance
518,"Christ, of All My Hopes the Ground","Wardlaw, Ralph","Malan, Henri A. Ceasar",Hendon
519,Fountain of Never-Ceasing Grace,"Toplady, Augustus M.","Croft, William",St. Matthew
520,"Jesus, Thy Blood and Righteousness","von Zinzendorf, Nicolaus Ludvig",Gardiner’s Sacred Melodies,Germany
521,My Hope Is Built on Nothing Less,"Mote, Edward","Bradbury, William B.",Solid Rock
522,My Hope Is Built on Nothing Less,"Mote, Edward","Bortniansky, Dmitri",St. Petersburg
523,My Hope Is in the Lord,"Clayton, Norman J.","Clayton, Norman J.",Wakefield
524,"Thy Works, Not Mine, O Christ","Bonar, Horatius","Darwall, John",Darwall
525,A Child of the King,"Buell, Hattie E.","Sumner, John B.",Binghamton
526,Blessed Are the Sons of God,"Humphreys, Joseph","Malan, Henri A. Ceasar",Rosefield
527,The Beatitudes,"Watts, Isaac","Baker, Henry",Quebec
528,My Faith Looks Up to Thee,"Palmer, Ray","Mason, Lowell",Olivet
529,"Love Divine, All Loves Excelling","Wesley, Charles","Zundel, John",Beecher
530,"Lord, I Want to Be a Christian",Spiritual,Spiritual,"Lord, I Want To Be A Christian"
531,"Savior, Blessed Savior","Thring, Godfrey","Havergal, Frances R.",Hermas
532,"Teach Me, O Lord, Thy Holy Way","Matson, William T.",St. Albans Tune Book,Penitence
533,"I Am Thine, O Lord, I Have Heard They Voice","Crosby, Fanny J.","Doane, William H.",I Am Thine
534,O For a Closer Walk with God,"Cowper, William","Dykes, John B.",Beatitudo
535,"O the Deep, Deep Love of Jesus!","Francis, Samuel Trevor","Williams, Thomas John",Ebenezer
536,"Searcher of Hearts, from Mine Erase","Morris, George P.","Dykes, John B.",Beatitudo
537,Take Time to Be Holy,"Longstaff, William D.","Stebbins, George C.",Holiness
538,More about Jesus Would I Know,"Hewitt, Eliza E.","Sweney, John R.",Sweney
539,Jerusalem the Golden,Bernard of Cluny,"Ewing, Alexander",Ewing
540,A Few More Years Shall Roll,"Bonar, Horatius","Martin, George William",Leominster
541,When the Roll Is Called Up Yonder,"Black, James M.","Black, James M.",Roll Call
542,Who Are These like Stars Appearing,"Schenk, Heinrich T.",Darmstadt Gesangbuch,All Saints Old
543,Around the Throne of God in Heaven,"Shepherd, Anne H.","Matthews, Henry E.",Children’s Praises
544,How Bright These Glorious Spirits Shine!,"Watts, Isaac","Fink, Gottfried W.",Bethlehem
545,When This Passing World Is Done,"McCheyne, Robert Murray","Sullivan, Arthur S.",Mount Zion
546,The Sands of Time are Sinking,"Cousin, Anne R.","Urhan, Chretien",Rutherford
547,With Harps and with Viols,"Pierson, Arthur T.","Bliss, Philip P.",Harps And Viols
548,No Night There,"Clements, John R.","Danks, Hart P.",No Night There
549,By the Sea of Crystal,"Kuipers, William","Vanderhoven, John",Crystal
550,There Is a Land of Pure Delight,"Watts, Isaac","Gower, John H.",Meditation
551,How Blest Is He Whose Trespass,The Psalter,"Urhan, Chretien",Rutherford
552,"From out the Depths I Cry, O Lord, to Thee",The Psalter,"Purday, Charles H.",Sandon
553,"My Sins, My Sins, My Savior!","Monsell, John S. B.","Monsell, John S. B.",Monsell
554,From Depths of Woe I Raise to Thee,"Luther, Martin","Luther, Martin",Aus Tiefer Not
555,"Lord, I Was Blind: I Could Not See","Mason, William T.","Scott-Gatty, Alfred",Bodmin
556,Though Your Sins Be as Scarlet,"Crosby, Fanny J.","Doane, William H.",Compassion
557,Blest Are the Undefiled,"Watts, Isaac","Mason, Lowell",Downs
558,"That Man Is Blest Who, Fearing God",The Psalter,Hymns and Sacred Poems,Irish
559,"Father, I Know That All My Life","Waring, Anna L.","Steggall, Charles",Morwellham
560,"Lord, Speak to Me That I May Speak","Havergal, Frances R.","Smith, Gail",Fort Lauderdale
561,"Lord, Speak to Me That I May Speak","Havergal, Frances R.","Schumann, Robert",Canonbury
562,All to Jesus I Surrender,"VanDeVenter, Judson W.","Weeden, Winfield S.",Surrender
563,What Kind of Man Can Live in the World,"Barnes, Jonathan","Wilson, David G.",What Kind Of Man
564,Blessed Is the Man,"Baughen, Michael","Baughen, Michael",Blessed Is The Man
565,All for Jesus!,"James, Mary D.","Stainer, John",Wycliff
566,"Fear Not, O Little Flock","Altenburg, Johann Michael","Crawford, Edward Patrick",Jehovah Nissi
567,"Rise, My Soul, to Watch and Pray","Freystein, Johann B.",Hundert Arien,Straf Mich Nicht
568,In the Hour of Trial,"Montgomery, James","Lane, Spencer",Penitence
569,"Jesus, Lord of Life and Glory","Cummins, James J.",Gregorian Chant,St. Austin
570,Faith of Our Fathers!,"Faber, Frederick W.","Hemy, Henri F.",St. Catherine
571,"Stand Up, Stand Up for Jesus","Duffield, George","Webb, George J.",Webb
572,"Onward, Christian Soldiers","Baring-Gould, Sabine","Sullivan, Arthur S.",St. Gertrude
573,Am I a Soldier of the Cross,"Watts, Isaac",Chetham’s Book of Psalmody,Marlow
574,"Christian, Dost Thou See Them",Andrew of Crete,"Dykes, John B.",St. Andrew Of Crete
575,"Soldiers of Christ, Arise","Wesley, Charles","Elvey, George J.",Diademata
576,"Awake, My Soul, Stretch Every Nerve","Doddridge, Phillip","Handel, George Frederick",Christmas
577,"Stand Up, My Soul; Shake Off Your Fears","Watts, Isaac","Calkin, J. Baptiste",Waltham
578,The Son of God Goes Forth to War,"Heber, Reginald","Cutler, Henry S.",All Saints New
579,Dare to Be a Daniel!,"Bliss, Philip P.","Bliss, Philip P.",Daniel
580,"Lead On, O King Eternal","Shurtleff, Ernest W.","Smart, Henry",Lancashire
581,Fight the Good Fight,"Monsell, John S. B.","Mozart, Wolfgang Amadeus",Mozart
582,Yield Not to Temptation,"Palmer, Horatio R.","Palmer, Horatio R.",Yield Not
583,"Fountain of Good, to Own Thy Love","Doddridge, Phillip","Turton, Thomas",St. Etheldreda
584,"Go, Labor On","Bonar, Horatius","Boyd, William",Pentacost
585,"Take My Life, and Let It Be","Havergal, Frances R.","Malan, Henri A. Ceasar",Hendon
586,"Take My Life, and Let It Be","Havergal, Frances R.","Dykes, John B.",St. Bees
587,Who Is on the Lord’s Side?,"Havergal, Frances R.",German melody,Armageddon
588,Who Is on the Lord’s Side?,"Havergal, Frances R.","Roberts, Caradog",Rachie
589,"Fill Thou My Life, O Lord My God","Bonar, Horatius",Day’s Psalter,St. Flavian
590,"Jesus, Master, Whose I Am","Havergal, Frances R.","Bortniansky, Dmitri",Wells
591,Jesus Calls Us,"Alexander, Cecil Frances","Jude, William H.",Galilee
592,Jesus Bids Us Shine,"Warner, Susan","Excell, Edwin O.",Jesus Bids Us Shine
593,"Take Thou Our Minds, Dear Lord","Foulkes, William Hiram","Lomas, George",Sursum Corda
594,Hope of the World,"Harkness, Georgia E.","Copes, V. Earle",Vicar
595,Let Your Heart Be Broken,"Leech, Bryan Jeffery","Lane, Spencer",Penitence
596,"You Came to Us, Dear Jesus","Clowney, Edmund P.","Terry, R.R.",Highwood
597,Though I May Speak with Bravest Fire,"Hopson, Hal",American folk tune,Gift Of Love
598,"Guide Me, O Thou Great Jehovah","Williams, William","Hughes, John",CWM Rhondda
599,"Savior, like a Shepherd Lead Us","Thrupp, Dorothy Ann","Bradbury, William B.",Shepherd
600,He Leadeth Me: O Blessed Thought!,"Gilmore, Joseph H.","Bradbury, William B.",He Leadeth Me
601,"Jesus, Savior, Pilot Me","Hopper, Edward","Gould, John E.",Pilot
602,"O God, My Faithful God","Heermann, Johann","Fritsch, Ahasuerus",Darmstadt
603,He Who Would Valiant Be,"Bunyan, John","Douglas, Charles Winfred",St. Dunstan’s
604,"Rejoice, Ye Pure in Heart","Plumptre, Edward H.","Messiter, Arthur H.",Marion
605,All the Way My Savior Leads Me,"Crosby, Fanny J.","Lowry, Robert",All The Way
606,"Teach Me Thy Way, O Lord","Ramsey, B. Mansell","Ramsey, B. Mansell",Camacha
607,"Thy Loving-kindness, Lord, Is Good and Free",The Psalter,"Hopkins, Edward J.",Ellers
608,To God My Earnest Voice I Raise,The Psalter,"Miller, Edward (Arr.)",Rockingham Old
609,Why Should Cross and Trial Grieve Me?,"Gerhardt, Paul","Ebeling, Johann G.",Warum Sollt’ Ich Mich Denn Gramen
610,"Take Up Your Cross, the Savior Said","Everest, Charles W.","Baker, Henry",Quebec
611,I Want Jesus to Walk with Me,Spirtual,Spiritual,Walk With Me
612,"O Lord, Be Gracious to Me","Perry, Michael","Warren, Norman L.","O Lord, Be Gracious"
613,"Give Thanks unto the Lord, Jehovah",Anon.,Strasbourg Psalter,Rendez A Dieu
614,"Now Israel May Say, and That in Truth",The Psalter,"Bourgeouis, Louis",Old 124th
615,"Come, Ye Disconsolate, Where’er Ye Languish","Moore, Thomas","Webbe, Samuel",Alma
616,Leaning on the Everlasting Arms,"Hoffman, Elisha A.","Showalter, Anthony J.",Showalter
617,My Anchor Holds,"Martin, W. C.","Towner, Daniel B.",Anchor
618,His Eye Is on the Sparrow,"Martin, Civilla D.","Gabriel, Charles H.",Sparrow
619,A Shelter in the Time of Storm,"Charlesworth, Vernon J.","Sankey, Ira D.",Shelter
620,"O Lord, I Love You, My Shield, My Tower","Clowney, Edmund P.","Saint-Saens, Camille",Saint-Saens
621,Sometimes a Light Surprises,"Cowper, William","Hullah, John",Bentley
622,I Waited for the Lord Most High,The Psalter,"Barnby, Joseph",Dunstan
623,Moment by Moment,"Whittle, Daniel W.","Moody, May Whittle",Whittle
624,Through All the Changing Scenes of Life,Tate and Brady’s New Version,"Mason, Lowell",Downs
625,"Tell Me the Old, Old Story","Hankey, Katherine","Doane, William H.",Evangel
626,"O Lord, by Grace Delivered",The Psalter,Traditional English melody,Noel
